Duration(ms);Popularity;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature;Track_Name_Artist_Name;Artists;id
173249;51;0.617;0.761;2;-5.392;0;0.0591;0.135;0;0.263;0.528;160.08;4;Trash - Little Mix;Little Mix;2Tb4Us0GhAuCpEsqOdTmmy
136614;62;0.764;0.672;7;-5.947;0;0.0293;0.072;0.00000332;0.0806;0.789;129.049;4;Good Ones - Charli XCX;Charli XCX;6PZpNMstpIiRenGK5UyG5D
207151;45;0.747;0.819;9;-3.92;1;0.041;0.0347;0;0.297;0.488;114.987;4;‘Bout you - SUPER JUNIOR-D&E;SUPER JUNIOR-D&E;15IuYQKZ5zKDEY5YDzsqSQ
200786;41;0.68;0.968;7;-0.696;0;0.0543;0.0327;0;0.188;0.869;113.079;4;B.A.D - SUPER JUNIOR-D&E;SUPER JUNIOR-D&E;3VJtASWPj2bu8aGL8cvtss
199600;40;0.682;0.908;11;-2.882;0;0.151;0.00882;0.00000494;0.223;0.632;119.966;4;No Love - SUPER JUNIOR-D&E;SUPER JUNIOR-D&E;5mMqlFlWJNAApggUOEfYDn
164053;65;0.722;0.851;10;-2.589;1;0.264;0.35;0;0.0661;0.763;122.012;4;Killing Me - CHUNG HA;CHUNG HA;3QD0Y1tTngihByjdWC99lG
213146;40;0.816;0.548;3;-5.968;1;0.254;0.193;0;0.159;0.757;77.951;4;Red Muhly - EUNHYUK;EUNHYUK;6eW9BHXYB5hgosR6zQ4WxB
236760;23;0.705;0.922;9;-3.326;1;0.0693;0.00496;0.00000365;0.272;0.609;100.016;4;Hot Babe - SUPER JUNIOR-D&E;SUPER JUNIOR-D&E;6BEFuOnK2yN20KQdxi1qFE
212626;27;0.73;0.933;1;-2.703;0;0.0689;0.121;0;0.153;0.86;107.001;4;SUNRISE - SUPER JUNIOR-D&E;SUPER JUNIOR-D&E;3RyxNMqQotFNHLFTXUy0Vz
211422;36;0.631;0.943;7;-1.732;1;0.0409;0.0706;0.00174;0.322;0.68;94.018;4;Animals - SUPER JUNIOR;SUPER JUNIOR;6Pqc7nJCJcxfTMrmNMNTr6
